dt,x,y,z,x_vel,y_vel,z_vel,Z_acc,X_acc
1.31,355.332245,13.133958,135.807938,0.071358,2.176501,-0.117385,9.794046,0.412233
1.32,355.295471,13.132071,135.812912,0.07351,2.222955,-0.117869,9.793797,0.418743
1.33,355.259888,13.130292,135.817703,0.082281,2.271638,-0.122632,9.792456,0.425653
1.34,355.221161,13.128316,135.823013,0.077683,2.328778,-0.127931,9.793324,0.433845
1.35,355.184113,13.126699,135.828201,0.083294,2.375745,-0.129849,9.79251,0.440396
1.36,355.143646,13.124893,135.833725,0.082044,2.427838,-0.132831,9.792832,0.447677
1.37,355.102448,13.122955,135.839447,0.08165,2.484295,-0.136098,9.793012,0.455629
1.38,355.062927,13.121349,135.845078,0.089037,2.530267,-0.138594,9.791916,0.461909
1.39,355.02005,13.119391,135.851212,0.082518,2.585421,-0.14361,9.79309,0.469567
1.4,354.978973,13.117761,135.857162,0.081339,2.632769,-0.145369,9.793386,0.475999
1.41,354.934235,13.115994,135.863663,0.084802,2.686887,-0.148945,9.792944,0.483411
1.42,354.89151,13.114196,135.869873,0.085242,2.736546,-0.152225,9.792986,0.490143
1.43,354.845093,13.112387,135.876724,0.086012,2.789092,-0.155144,9.792981,0.497223
1.44,354.798126,13.110373,135.883713,0.075242,2.835883,-0.161272,9.794825,0.503344
1.45,354.753174,13.108656,135.890503,0.074757,2.87137,-0.162807,9.79501,0.50771
1.46,354.703186,13.106921,135.898102,0.087039,2.937196,-0.163629,9.793183,0.516796
1.47,354.654297,13.105433,135.90564,0.097273,3.085848,-0.169083,9.791718,0.53906
1.48,354.601837,13.103583,135.913757,0.092993,3.202655,-0.174647,9.792582,0.556077
1.49,354.547821,13.101569,135.922134,0.110548,3.283326,-0.18445,9.789995,0.567297
1.5,354.49646,13.099513,135.930191,0.099042,3.316248,-0.189554,9.791991,0.571029
1.51,354.441986,13.097416,135.938889,0.054312,3.300835,-0.196439,9.79916,0.567066
1.52,354.390778,13.095732,135.947159,0.039537,3.274938,-0.198574,9.801568,0.561574
1.53,354.336792,13.094045,135.95607,0.00569,3.238705,-0.197089,9.806919,0.554411
1.54,354.286591,13.092529,135.96463,-0.00119,3.205096,-0.198993,9.808009,0.547786
1.55,354.233765,13.090789,135.973618,0.004335,3.165599,-0.203899,9.807163,0.540193
1.56,354.181244,13.089111,135.982712,-0.022054,3.127011,-0.208784,9.811253,0.532785
1.57,354.132507,13.087551,135.991379,-0.011195,3.100426,-0.215015,9.80955,0.527355
1.58,354.081543,13.085958,136.00061,-0.019673,3.062665,-0.218215,9.810846,0.520146
1.59,354.033844,13.084668,136.009308,-0.008694,3.022323,-0.219283,9.80913,0.512659
1.6,353.983948,13.083374,136.01857,0.005128,2.98437,-0.220364,9.806997,0.505495
1.61,353.934723,13.082196,136.027924,0.003638,2.945247,-0.227428,9.807218,0.49819
1.62,353.888977,13.081153,136.036713,0.017096,2.91348,-0.230219,9.805155,0.492121
1.63,353.841125,13.08018,136.046097,0.022048,2.873869,-0.23396,9.80441,0.484811
1.64,353.796539,13.079551,136.054993,0.027757,2.833098,-0.230123,9.803544,0.477437
1.65,353.749847,13.079076,136.064255,0.055887,2.790489,-0.228474,9.799294,0.469746
1.66,353.703827,13.078721,136.073608,0.06715,2.748793,-0.229859,9.797625,0.462232
1.67,353.660797,13.078524,136.082504,0.077446,2.717985,-0.231684,9.796097,0.456469
1.68,353.61261,13.078649,136.092438,0.116943,2.790276,-0.233588,9.790234,0.466163
1.69,353.56662,13.079115,136.10199,0.105164,2.928332,-0.238175,9.792126,0.485741
1.7,353.516876,13.079604,136.112427,0.153965,3.025877,-0.240403,9.784963,0.499084
1.71,353.468201,13.080087,136.122589,0.193908,3.117818,-0.243016,9.779187,0.511592
1.72,353.41507,13.080802,136.133652,0.174331,3.215271,-0.251105,9.782314,0.524782
1.73,353.360474,13.081976,136.145035,0.201296,3.315694,-0.25193,9.778496,0.538349
1.74,353.307709,13.083302,136.156097,0.213073,3.410135,-0.256219,9.776954,0.55104
1.75,353.250183,13.084916,136.168106,0.199002,3.503276,-0.260026,9.779219,0.5634
1.76,353.191376,13.087096,136.180649,0.20654,3.606712,-0.252137,9.778273,0.577219
1.77,353.134613,13.0894,136.192612,0.19019,3.713175,-0.278532,9.780822,0.591504
1.78,353.076965,13.091817,136.204498,0.184136,3.795859,-0.286438,9.781822,0.602238
1.79,353.013916,13.094737,136.217377,0.162215,3.881832,-0.280245,9.785142,0.613312
1.8,352.949646,13.097721,136.23056,0.148048,3.968287,-0.272636,9.787292,0.624407
1.81,352.887848,13.100312,136.243347,0.133054,4.048879,-0.260507,9.789536,0.634687
1.82,352.821075,13.102895,136.257263,0.117367,4.131302,-0.249917,9.791866,0.645093
1.83,352.757263,13.105087,136.270401,0.09256,4.200759,-0.246444,9.79549,0.653665
1.84,352.687866,13.107093,136.284439,0.081224,4.265845,-0.236106,9.797151,0.66147
1.85,352.621582,13.1087,136.297852,0.05209,4.330788,-0.225283,9.801362,0.669314
1.86,352.550262,13.110291,136.312057,0.033861,4.389059,-0.211865,9.803978,0.676065
1.87,352.477692,13.111486,136.326431,0.008976,4.438098,-0.191995,9.807537,0.681458
1.88,352.408966,13.112268,136.339996,-0.011162,4.479517,-0.180632,9.810398,0.685831
1.89,352.334747,13.113099,136.35434,-0.034046,4.50962,-0.156378,9.813641,0.688467
1.9,352.264343,13.113544,136.367874,-0.040306,4.540677,-0.134183,9.814507,0.691323
1.91,352.188934,13.113856,136.382263,-0.062488,4.56849,-0.11442,9.817633,0.693606
1.92,352.117371,13.114433,136.395767,-0.067617,4.589358,-0.092409,9.818329,0.694992
1.93,352.040924,13.115088,136.409775,-0.085176,4.597424,-0.084769,9.820786,0.694458
1.94,351.963715,13.11587,136.423691,-0.079256,4.581484,-0.033337,9.819911,0.690536
1.95,351.891113,13.116884,136.437225,-0.080677,4.585545,0.005313,9.820079,0.689549
1.96,351.813385,13.11794,136.451736,-0.074195,4.604456,0.022452,9.819144,0.690555
1.97,351.739807,13.119148,136.465134,-0.084728,4.614744,0.030913,9.8206,0.690444
1.98,351.661713,13.12077,136.479095,-0.057124,4.616388,0.034202,9.816712,0.689027
1.99,351.58316,13.122677,136.492828,-0.065369,4.61956,0.037179,9.81785,0.687829
2,351.509155,13.126572,136.505325,-0.004093,4.600982,0.052201,9.809295,0.683704
2.01,351.43042,13.131736,136.518326,0.124134,4.576218,0.06955,9.791511,0.678635
2.02,351.35611,13.136505,136.530502,0.20412,4.561283,0.086246,9.78051,0.675043
2.03,351.277039,13.14107,136.543579,0.238515,4.570365,0.105491,9.775893,0.674691
2.04,351.202606,13.145077,136.556,0.213543,4.578942,0.10205,9.779486,0.674362
2.05,351.123169,13.150455,136.568893,0.207082,4.578261,0.101777,9.780509,0.672669
2.06,351.043671,13.155462,136.58168,0.20068,4.593288,0.097905,9.781525,0.673139
2.07,350.969086,13.159198,136.593628,0.142283,4.599442,0.086249,9.789642,0.672487
2.08,350.889557,13.163887,136.606155,0.091498,4.598235,0.088105,9.796657,0.670744
2.09,350.814606,13.168522,136.617676,0.060288,4.616474,0.095166,9.800964,0.671755
2.1,350.73526,13.172525,136.63002,-0.003149,4.630807,0.078747,9.809618,0.672142
2.11,350.660645,13.175203,136.641449,-0.058176,4.628768,0.066977,9.817069,0.670401
2.12,350.58136,13.177119,136.653366,-0.12734,4.63612,0.057895,9.826382,0.669853
2.13,350.502014,13.18,136.665451,-0.211838,4.646161,0.03807,9.8377,0.669678
2.14,350.427368,13.184069,136.676392,-0.168312,4.641713,0.033643,9.831701,0.667638
2.15,350.348206,13.187657,136.687653,-0.147986,4.657126,-0.003953,9.828868,0.668187
2.16,350.273956,13.191404,136.697495,-0.150025,4.640269,-0.003903,9.829056,0.664489
2.17,350.195526,13.196641,136.708618,-0.131512,4.607567,-0.00146,9.826506,0.658592
2.18,350.117401,13.201578,136.719315,-0.114619,4.582875,-0.003642,9.824228,0.653782
2.19,350.044098,13.205817,136.7285,-0.092773,4.532723,0.032671,9.821324,0.645679
2.2,349.966675,13.209215,136.738159,-0.094746,4.497748,0.071603,9.82162,0.639542
2.21,349.894104,13.213246,136.747192,-0.098771,4.480265,0.07013,9.822181,0.635842
2.22,349.817108,13.217313,136.756119,-0.099352,4.471008,0.078071,9.822284,0.633162
2.23,349.744965,13.220553,136.764099,-0.089414,4.442151,0.113053,9.82099,0.627987
2.24,349.668671,13.223686,136.772629,-0.137967,4.419211,0.115294,9.827391,0.623537
2.25,349.592499,13.227879,136.780472,-0.133391,4.414032,0.12316,9.826753,0.621449
2.26,349.521027,13.232072,136.787125,-0.142731,4.376206,0.149344,9.827935,0.615164
2.27,349.445404,13.23594,136.794342,-0.151884,4.339937,0.185557,9.829064,0.609031
2.28,349.374268,13.239506,136.801163,-0.20282,4.332494,0.20628,9.835652,0.606777
2.29,349.298798,13.244392,136.807526,-0.204573,4.322956,0.24891,9.835772,0.604183
2.3,349.223511,13.248442,136.81369,-0.195843,4.311856,0.263815,9.83453,0.601394
2.31,349.152954,13.252198,136.819183,-0.234021,4.289431,0.262492,9.839388,0.597225
2.32,349.077789,13.256797,136.824295,-0.218604,4.282257,0.262532,9.837251,0.594977
2.33,349.007446,13.261537,136.828629,-0.191519,4.262353,0.277906,9.833633,0.591164
2.34,348.932983,13.267075,136.833847,-0.194552,4.228883,0.259025,9.833876,0.585544
2.35,348.858856,13.27384,136.838791,-0.12704,4.203032,0.242247,9.825002,0.580933
2.36,348.788788,13.280354,136.842514,-0.077237,4.199682,0.247002,9.818437,0.579309
2.37,348.714172,13.286578,136.846436,-0.049187,4.223317,0.232045,9.814673,0.58108
2.38,348.643555,13.291842,136.850372,-0.071598,4.270759,0.207508,9.817424,0.585961
2.39,348.56781,13.296849,136.853989,-0.092142,4.307359,0.207437,9.819955,0.589355
2.4,348.496033,13.300131,136.857285,-0.129424,4.321046,0.208546,9.824666,0.589877
2.41,348.418793,13.303074,136.861221,-0.20659,4.356931,0.18471,9.834461,0.593139
2.42,348.340485,13.305632,136.864731,-0.229164,4.423332,0.154196,9.83732,0.600254
2.43,348.265991,13.307012,136.867264,-0.28085,4.497078,0.120732,9.843882,0.608345
2.44,348.186066,13.308456,136.870728,-0.32512,4.553616,0.097083,9.849484,0.614149
2.45,348.109436,13.309953,136.873917,-0.339446,4.619263,0.07137,9.851295,0.621154
2.46,348.027649,13.310441,136.876816,-0.353482,4.709885,0.023969,9.853039,0.631201
2.47,347.949585,13.311371,136.879883,-0.388722,4.769747,-0.025067,9.857429,0.637427
2.48,347.866425,13.315053,136.882523,-0.359058,4.823893,-0.044254,9.853634,0.642834
2.49,347.779236,13.322173,136.884476,-0.248634,5.003725,-0.003124,9.839661,0.663968
2.5,347.695251,13.329932,136.887283,-0.215773,5.327022,0.014144,9.835432,0.703016
2.51,347.60553,13.337899,136.889435,-0.209167,5.416764,-0.038155,9.834374,0.712736
2.52,347.518921,13.344186,136.890991,-0.135743,5.538599,-0.004351,9.825017,0.726497
2.53,347.425018,13.349934,136.892868,-0.13254,5.578483,-0.024867,9.824487,0.729926
2.54,347.336731,13.353661,136.894257,-0.231679,5.611048,-0.064565,9.836587,0.732535
2.55,347.243042,13.356319,136.895386,-0.154749,5.540648,-0.022309,9.826952,0.7223
2.56,347.148163,13.358725,136.896515,-0.227374,5.518605,-0.039243,9.83582,0.718068
2.57,347.060028,13.360593,136.897736,-0.268242,5.514208,-0.055509,9.840744,0.716118
2.58,346.966705,13.36346,136.898056,-0.227648,5.492398,-0.03845,9.83567,0.711944
2.59,346.87912,13.366688,136.898438,-0.270357,5.459133,-0.031052,9.840806,0.706479
2.6,346.786469,13.369633,136.898804,-0.222905,5.451023,-0.022406,9.834871,0.704031
2.61,346.694763,13.37359,136.898346,-0.236939,5.422077,0.002967,9.836474,0.699048
2.62,346.608826,13.377151,136.898193,-0.189781,5.38724,0.00116,9.830597,0.693457
2.63,346.518005,13.380824,136.897675,-0.164522,5.356058,0.017017,9.827431,0.688244
2.64,346.433319,13.385252,136.896683,-0.157767,5.327703,0.029252,9.826519,0.68348
2.65,346.343872,13.389425,136.895981,-0.095024,5.284918,0.038376,9.81881,0.676908
2.66,346.25473,13.393222,136.895035,-0.087918,5.257332,0.040757,9.817904,0.672191
2.67,346.171295,13.397094,136.893463,-0.09082,5.2266,0.05988,9.818196,0.667197
2.68,346.083405,13.401023,136.892517,-0.051019,5.182721,0.060949,9.813357,0.660556
2.69,346.000916,13.404364,136.891327,-0.048511,5.147541,0.064609,9.81305,0.655059
2.7,345.912994,13.408183,136.88942,-0.0557,5.137117,0.077659,9.813892,0.652478
2.71,345.827698,13.411942,136.888184,0.000434,5.233146,0.089273,9.807198,0.662715
2.72,345.735657,13.415588,136.886642,-0.013149,5.391412,0.073493,9.808898,0.680256
2.73,345.642365,13.419184,136.885208,-0.006864,5.571137,0.067245,9.808221,0.700285
2.74,345.552002,13.422915,136.883698,0.026873,5.654704,0.087102,9.804295,0.708875
2.75,345.454224,13.427893,136.882248,0.005895,5.808586,0.070829,9.806876,0.725695
2.76,345.360718,13.431767,136.881042,0.004695,5.905765,0.074457,9.80707,0.735823
2.77,345.259308,13.436287,136.879623,0.004143,6.002222,0.073191,9.807181,0.745738
2.78,345.156525,13.439857,136.878296,-0.043621,6.101845,0.063431,9.812857,0.75599
2.79,345.0578,13.443785,136.87706,-0.059474,6.179043,0.061813,9.814731,0.763652
2.8,344.951782,13.447517,136.875702,-0.084703,6.292477,0.0587,9.817718,0.775452
2.81,344.849762,13.451366,136.874359,-0.110394,6.369874,0.062565,9.820741,0.783068
2.82,344.740387,13.454684,136.873032,-0.148632,6.480815,0.053401,9.825212,0.794494
2.83,344.635284,13.458597,136.871887,-0.131115,6.550947,0.061778,9.823166,0.801193
2.84,344.522552,13.462272,136.870697,-0.184202,6.679009,0.052755,9.829349,0.814535
2.85,344.414429,13.466264,136.869751,-0.141245,6.746854,0.055248,9.824333,0.820906
2.86,344.298157,13.469984,136.868195,-0.184511,6.871529,0.032743,9.829345,0.833763
2.87,344.179626,13.474313,136.866653,-0.150824,6.964827,0.03568,9.825411,0.84293
2.88,344.067017,13.478233,136.865097,-0.182696,7.089294,0.047878,9.82907,0.855772
2.89,343.945374,13.483015,136.863922,-0.167567,7.177604,0.027777,9.827286,0.864287
2.9,343.829193,13.487447,136.862366,-0.183348,7.287274,0.03332,9.829063,0.875337
2.91,343.704468,13.492339,136.86084,-0.180338,7.370613,0.025711,9.828668,0.883213
2.92,343.577759,13.497483,136.858948,-0.181524,7.480284,0.04203,9.828744,0.894087
2.93,343.456909,13.502804,136.856979,-0.181635,7.58619,0.039143,9.828698,0.904589
2.94,343.326965,13.508887,136.855164,-0.159299,7.68316,0.037087,9.826092,0.913924
2.95,343.187653,13.514755,136.852539,-0.166846,7.789512,0.060553,9.826916,0.924186
2.96,343.07016,13.519711,136.850677,-0.152479,7.856864,0.041043,9.825243,0.93028
2.97,342.943512,13.524647,136.848495,-0.170838,7.954185,0.055525,9.827302,0.939656
2.98,342.807312,13.529803,136.845978,-0.163752,8.032729,0.032287,9.826466,0.946758
2.99,342.669189,13.535525,136.843323,-0.19882,8.133437,0.040209,9.83041,0.956344
3,342.538147,13.541076,136.84021,-0.180084,8.242873,0.049558,9.828239,0.966994
3.01,342.397156,13.547032,136.837631,-0.180382,8.32353,0.055707,9.828221,0.974244
3.02,342.262817,13.552636,136.834824,-0.187738,8.423828,0.046364,9.828994,0.983793
3.03,342.118469,13.559499,136.831314,-0.181382,8.525766,0.060557,9.828216,0.993382
3.04,341.972656,13.566364,136.828339,-0.152731,8.626183,0.038952,9.824953,1.00276
3.05,341.834015,13.57197,136.824966,-0.168229,8.694152,0.050584,9.826657,1.008577
3.06,341.685303,13.577799,136.821274,-0.150839,8.781206,0.044038,9.82468,1.016392
